WRMD_ID,Accession_no,Admission_date,Species,Org,Location,Lat,Long,Disp,Disp_date,Age,Clinical presentation/syndrome category,Reasons for admission,Condition,Diagnosis,Notes
812843,17-5213,10/9/2017 11:17,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,Wildlife Center of Silicon Valley,Paseo de San Antonio San Jose CA,37.34618,-121.856127,Euthanized in 24hr,10/9/2017,Adult,Neurologic disease,not using hind legs,"**hindlimb**: dragging rear legs, no pain response  // ",,
741808,17-3698,10/7/2017 15:53,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,California Wildlife Center,5738 Chicopee Ave Encino CA,34.175284,-118.512084,Transferred,10/7/2017,Juvenile,Neurologic disease,"Running in circles behind trash can, scared of dogs, threw t shirt over squirrel to rescue ","**head**: Sleepy eyed // **cns**: Laterally recumbent // **forelimb**: FL weakness // **hindlimb**: HL paresis, L>R // ",,
806113,17-2194,10/11/2017 16:49,Common Murre or Guillemot,Native Animal Rescue,Santa Cruz Harbor boat ramp Santa Cruz CA,36.967377,-122.001908,Pending,,,Stranded,Weak,,,
804511,17-2193,10/11/2017 12:47,Common Murre or Guillemot,Native Animal Rescue,Its Beach on West CLiff Dr. Santa Cruz CA,,,Pending,,,Stranded,Weak,,,
703987,17-2107,10/11/2017 12:28,Common Murre or Guillemot,Pacific Wildlife Care,Point Pinos Pacific Grove CA,36.633382,-121.93368,Euthanized in 24hr,10/11/2017,Adult,"Stranded, petrochemical exposure",transferred because off Bay Area fires,"**head**: R iris torn, ulcer present on R cornea // **cardiopulmonary**: gurgling on exam table // **integument**: severe burns entire R tibiosarsus and ventral R elbow. Oiled R flank  // **comments**: poor prognosis given severity of burns plus other assorted medical issues // ","oiled, severe burns on R leg/elbow; R eye injuries",
790127,17-2108,10/11/2017 12:28,Common Murre or Guillemot,Pacific Wildlife Care,1002 Monterey Salinas CA,36.5689,-121.76167,Euthanized in 24hr,10/11/2017,Juvenile,"Stranded, petrochemical exposure",transferred because off Bay Area fires,"**integument**: contaminated with fish oil // **hindlimb**: not standing, increased ROM in both hocks, suspect bilateral luxations // ",bilateral hock luxations,
795766,17-2079,10/9/2017 10:51,Common Murre or Guillemot,SPCA for Monterey County,7700 Sandholdt Road Moss Landing CA,36.802151,-121.788163,Transferred,10/11/2017,Juvenile,Stranded,beached,"**body**: Not standing well, unsteady on feet // ",Young and thin,
762722,17-2095,10/9/2017 9:30,Common Murre or Guillemot,Pacific Wildlife Care,"Coleman Dr, Morro Strand Beach Morro Bay CA",35.372366,-120.861081,Euthanized in 24hr,10/9/2017,Juvenile,Stranded,in sand,"**head**: missing 1/2 of mandible, apparent deformity. Maxilla unusually thin/brittle // **integument**: mild algae staining on breast // **comments**: possible avian keratin disorder // ",emaciated juvenile with bill deformity rendering bird unable to apprehend prey,
796924,17-2074,10/7/2017 18:39,Common Murre or Guillemot,SPCA for Monterey County,Point Pinos Pacific Grove CA,36.633382,-121.93368,Transferred,10/11/2017,Adult,"Stranded, petrochemical exposure",On shore/oiled,"**gastrointestinal**: Feces caked around vent // **integument**: Right backside, most right primaries, some right secondaries, right foot/leg and right torso from vent to crop caked in Oil. // **body**: Oil covering up right side of body. Algae near bottom lower end and crop region. // **forelimb**: Oil caked on most right primaries and some right secondaries. Underneath wing and on topside of wing. // **hindlimb**: Small abrasion on left foot middle phalange, small abrasions on right foot middle phalange and far right phalange. Also an abrasion on right hock. // **comments**: Alert but quiet attitude, no physical wounds other than being caked in oil moderately in depth and abrasions on both feet and right hock. // ",Oiled/beached,
823821,17-2087,10/7/2017 15:28,Common Murre or Guillemot,Pacific Wildlife Care,Beach Morro Bay CA,35.368756,-120.851758,Euthanized in 24hr,10/7/2017,,Stranded,"not walking or flying, found on beach",,,
799047,17-2115,10/12/2017 14:40,Black-necked Grebe or Eared Grebe,Pacific Wildlife Care,just washed up from the ocean on the shore at 8th St. Cayucos CA,,,Pending,,Juvenile,"Stranded, physical injury","washed up, walked unsteadily, couldn't fly",**musculoskeletal**: crepitance L shoulder/pectoral girdle // ,,
787353,17-2978,10/10/2017 13:33,Black-necked Grebe or Eared Grebe,Santa Barbara Wildlife Care Network,Carpinteria State Beach Carpinteria CA,34.393047,-119.524255,Pending,,Adult,Stranded,beached,**comments**: NSF // ,,
703958,17-2102,10/9/2017 17:30,Black-necked Grebe or Eared Grebe,Pacific Wildlife Care,928 Pacific Blvd. Oceano CA,35.112538,-120.625783,Died in 24hr,10/10/2017,Adult,"Stranded, physical injury",Beached,"**head**: Sand in mouth // **integument**: Abrasion ventral R shoulder.  Feathers damp // **body**: Moderate amt SQ emphysema, L flank and around L leg.  Aspirated ~20ml. // ",,
762722,17-2098,10/9/2017 12:30,Black-necked Grebe or Eared Grebe,Pacific Wildlife Care,Oceano Dunes Oceano CA,35.10547,-120.629499,Released,10/10/2017,Juvenile,Stranded,"""Weak""","**integument**: a few lice, slight fecal staining around hocks // ",,
797096,17-3702,10/8/2017 11:35,Black-necked Grebe or Eared Grebe,California Wildlife Center,Sycamore Cove Ventura CA,34.071119,-119.014822,Transferred,10/8/2017,Adult,"Stranded, petrochemical exposure",Oiled,**head**: oiled // **integument**: Oiled // **forelimb**: Oiled // **hindlimb**: Oiled // ,,
760893,17-1016,10/12/2017 12:20,Western Grebe,Sonoma County Wildlife Rescue,18 Breen Way Cotati CA,38.330284,-122.692709,Pending,,Adult,Stranded,falling over,"**head**: BAR // **integument**: Body feathers surface wet, wings wet to skin // ",,
754673,17-2999,10/12/2017 9:40,Western Grebe,Santa Barbara Wildlife Care Network,Carpinteria State Beach Carpinteria CA,34.393047,-119.524255,Pending,,Juvenile,"Stranded, petrochemical exposure",beached/oiled,,,
703958,17-2101,10/9/2017 17:29,Western Grebe,Pacific Wildlife Care,928 Pacific Blvd. Oceano CA,35.112538,-120.625783,Pending,,Adult,Stranded,Weak,**head**: Sand in eyes and mouth. Eyes sealed closed on arrival.  Flushed w/saline.  More alert once eyes flushed // **integument**: Feathers dirty and feel dry/tacky // ,,
719350,17-2967,10/8/2017 16:04,Western Grebe,Santa Barbara Wildlife Care Network,Port Hueneme Beach Port Hueneme CA,34.142074,-119.193136,Transferred,10/10/2017,Juvenile,Stranded,Beached,,,
762722,17-2091,10/8/2017 11:49,Western Grebe,Pacific Wildlife Care,928 Pacific Blvd. Oceano CA,35.112538,-120.625783,Euthanized in 24hr,10/8/2017,Adult,"Stranded, physical injury",found on the beach,**musculoskeletal**: Compound fracture left side // ,,
797027,17-3700,10/8/2017 9:55,Western Grebe,California Wildlife Center,On beach near Entrada  Santa Monica CA,34.012516,-118.49994,Transferred,10/8/2017,Adult,Stranded,"Lethargic on beach, allowing strangers and pets to approach, grounded, not moving",**cns**: Not able to stand // **hindlimb**: Not able to stand // ,,
822089,17-5209,10/8/2017 13:55,Red-tailed Hawk or Harlan's Hawk,Wildlife Center of Silicon Valley,Lawrence Expressway Santa Clara CA,37.365504,-121.996106,Pending,,Adult,"Neurologic disease, physical injury",can't fly,"**head**: tip of tongue ulcerated, bleeding, eyes twitching // **cns**: head twitchy, hyper-responsive to stimuli // **integument**: wingtip oozing edema fluid, did not see open wound // **forelimb**: right wing--distal half of wingtip has moderate edema with some oozing of serosanguinous fluid.  // ","Toxicity, unknown substance",
785941,17-2032,9/30/2017 8:30,Eurasian Collared-dove or Collared Dove,SPCA for Monterey County,Alvarado Street  Monterey CA,36.599484,-121.894477,Euthanized +24hr,10/5/2017,Adult,"Neurologic disease, physical injury",,"**head**: no plr // **cns**: would walk in a circle/kinda fly favoring right side. May be due to injury under right wing. // **integument**: Ruffled on the tail end and a little bit of blood on right side of body. // **body**: Puncture on right side of body under wing. Blood in crop. // **forelimb**: Left elbow has minor lesions // **comments**: Hawk caught, wounds on left elbow and right body cavity. Possibility of neuro. // ",,
715524,17-2917,10/3/2017 12:25,Rock Pigeon,WildCare,1662 21st Ave San Francisco CA,37.756721,-122.478528,Euthanized in 24hr,10/4/2017,Adult,Neurologic disease,"found in backyard, doesn't seem to be able to fly","**comments**: Running in circles to the right, not ataxic, head tremors. No visible signs of trauma. POSSIBLE SARCOCYSTIS BIRD. // ","Mild head tremors, thin body condition, circling to right",
779184,17-2894,10/1/2017 17:46,Rock Pigeon,WildCare,Buena Vista Park  SF  CA,37.768405,-122.441414,Euthanized +24hr,10/3/2017,Adult,Neurologic disease,"Injured wing or leg, not able to fly or stand, falling over ","**head**: NSF, crop empty // **cns**: Falling over to the right repeatedly, spinning in circles, unable to stand or ambulate normally  // **gastrointestinal**: Dirty and malodorous  // **musculoskeletal**: No palpable fractures  // **integument**: Severe feather lice, small abrassion on right hock (likely from falling over so much)  // **body**: Thin  // **comments**: Neuro - head tilt and ataxic. // ",,
818144,17-5168,9/30/2017 16:40,Mourning Dove or American Mourning Dove,Wildlife Center of Silicon Valley,102 Elm Wood Court Los Gatos CA,37.264662,-121.976171,Euthanized in 24hr,9/30/2017,Adult,"Neurologic disease, nutritional disease",can't fly,"**cns**: Significant head twitching and body spasms; Unable to stand at times, seizes and flips onto back // **body**: Emaciated; Has ~2inch scab on breast R of keel // ",,
652555,17-988,10/5/2017 11:46,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,Sonoma County Wildlife Rescue,630 Wisteria Lane Santa Rosa CA,38.426992,-122.74583,Euthanized in 24hr,10/5/2017,Adult,Neurologic disease,Back legs not working,**head**: BAR // **gastrointestinal**: Bladder feels full // **body**: Dragging back legs and tail // ,,
686757,17-581,10/3/2017 9:28,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,Sulphur Creek Nature Center,697 Longwood Avenue Hayward CA,37.659976,-122.107115,Pending,,Adult,Neurologic disease,unable to walk,**comments**: not using rear legs // ,not using rear legs,
793274,17-3649,10/1/2017 12:33,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,California Wildlife Center,Chase Street (between Mason and Oso) Winnetka CA,,,Died +24hr,10/2/2017,Adult,Neurologic disease,Laying  in street (leg bent),"**cns**: laterally recumbent late, stiff, clenched - fetal position // **forelimb**: Back legs clenched, pulled in // ","Hypothermic, recumbent",
824989,17-3672,10/3/2017 17:32,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,California Wildlife Center,Same as rescuer West Hills CA,,,Pending,,Juvenile,Neurologic disease,"Fell out of tree, not using front limbs properly","**forelimb**: FL weakness, drags front limbs, but they are able to retract and move slightly // ",Neuro; HL paresis,
794538,17-4779,10/3/2017 13:35,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,Wildlife Care Association of Sacramento,2669 Independence Avenue West Sacramento CA,38.548683,-121.54823,Pending,,Juvenile,Neurologic disease,Does not appear to be able to use back legs,"**hindlimb**: not using hind legs, DPR appears intact, no fx felt // ",Physical injury: trauma,
673784,17-4923,10/3/2017 12:34,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,Lindsay Wildlife,1350 Edinburgh Ct. Concord CA,37.943287,-122.046944,Euthanized in 24hr,10/3/2017,Juvenile,Neurologic disease,Found in bush without ability to use back legs. Otherwise seemed bight and alert.,"**cns**: No tail tone, dragging hindlimbs, no withdrawals RPL, minimal withdrawal LPL // **body**: lax vertebrae palpated in the spine - potential fracture // **hindlimb**: Dragging hind limbs // ",,
794075,17-4776,10/2/2017 16:14,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,Wildlife Care Association of Sacramento,Tahoe Business Building at Sac St Sacramento CA,,,Euthanized in 24hr,10/2/2017,Juvenile,Neurologic disease,"Dragging legs, mom kept coming down and nudging it's legs but they didn't work",**cns**: back legs paralyzed // ,Neurological disease: paralysis,
794025,17-4773,10/2/2017 15:17,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,Wildlife Care Association of Sacramento,Jefferson and Park Blvd West Sacramento CA,38.576302,-121.524783,Pending,,Juvenile,Neurologic disease,"Fell out of tree, some blood on mouth, cat trying to get at him, going around in circles","**cns**: May have neuro symptoms, head turns to the right. Finder reported he was going in circles.  // ",Neurological disease: head turns to one side,
793886,17-4918,10/2/2017 14:08,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,Lindsay Wildlife,50 Highway Ave Bay Point CA,38.027532,-121.934138,Euthanized in 24hr,10/2/2017,Juvenile,Neurologic disease,Laying in driveway. Could not move.,**hindlimb**: dragging back legs- spinal trauma- ended exam here... // ,,
793419,17-3653,10/1/2017 17:39,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,California Wildlife Center,628 North Hayworth ave Los Angeles CA,34.082451,-118.362305,Euthanized +24hr,10/3/2017,Juvenile,Neurologic disease,"laying on ground not using back legs, for the first day, then found on road on 2nd day",**cns**: front limb paresis // **hindlimb**: front limb paresis // ,,
658312,17-3650,10/1/2017 14:36,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,California Wildlife Center,7250 Maynard Ave West Hills CA,34.20263,-118.62126,Euthanized +24hr,10/3/2017,Juvenile,"Neurologic disease, physical injury","Front legs possibly broken, blood near mouth, fell from a tree","**head**: Blood from mouth. Dirt or ulcer OD // **cns**: unable to flip over if placed on back // **gastrointestinal**: Blood from anus // **body**: Multiple abrasions and swelling on R side of mid to distal aspect of tail. // **forelimb**: Severe FL paresis, poss paralysis, pain negative // **hindlimb**: HL weakness, unable to get under body // ",Tetraparesis; OD trauma,
785031,17-4765,10/1/2017 12:12,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,Wildlife Care Association of Sacramento,3012 Roman Court Sacramento CA,38.554479,-121.369293,Euthanized in 24hr,10/1/2017,Juvenile,Neurologic disease,Animal looks sick and orphaned,"**head**: Some dried blood around nose/mouth // **cns**: Slightly off. Quiet, trembling, only moves backwards // **body**: Rash/scrapes down abdomen // **comments**: Frozen on intake, neuro symptoms improved when warm but still present // ",Neurological disease: tremors,
793167,17-3648,10/1/2017 11:51,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,California Wildlife Center,13957 Otsego Street Sherman Oaks CA,34.162887,-118.437584,Pending,,Juvenile,Neurologic disease,"fell out of guava tree at apartment complex, not using back legs","**forelimb**: Low stance with both FL // **hindlimb**: HL weakness, unable to get legs under body.  Able to extend and retract both legs/feet behind body // ",,
785031,17-4763,10/1/2017 10:55,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,Wildlife Care Association of Sacramento,5113 Costa Way Sacramento CA,38.6733,-121.344321,Euthanized in 24hr,10/1/2017,Juvenile,Neurologic disease,Appears sick or injured,"**head**: Eyes fixed, unblinking. L eye covered in dirt. Chewing/grinding teeth // **cns**: Tremors // ",Neurological disease: tremors,
795079,17-2153,10/4/2017 13:36,Common Murre or Guillemot,Native Animal Rescue,646 Beach Drive Aptos CA,36.959067,-121.890538,Pending,,,Stranded,weak,,,"All coastal birds receive this category upon admission (+/- other categories depending on clinical signs on admission). See ""coastal birds' tab for list of coastal bird species. "
689259,17-2158,10/4/2017 12:22,Common Murre or Guillemot,Native Animal Rescue,West Cliff Drive and Getchell Street Santa Cruz CA,36.950378,-122.045449,Pending,,,Stranded,weak,,,
793505,17-2138,9/30/2017 23:53,Common Murre or Guillemot,Native Animal Rescue,Sunny Cove Santa Cruz CA,36.960917,-121.989322,Transferred,10/3/2017,,Stranded,"weak, beached",,,
702963,17-2065,10/3/2017 10:44,Common Murre or Guillemot,Pacific Wildlife Care,Pismo Beach south of pier Pismo Beach CA,35.138287,-120.644732,Pending,,Adult,"Stranded, petrochemical exposure","oiled, tar",**integument**: ~4X6cm patch of tar upper L chest.  Might be missing some feathers here and there.  Several new feathers sprouting.  Lice // **forelimb**: R wing moderately edematous from carpus distal. Normal temp and color. // **hindlimb**: Small wound plantar surface L D4 // ,Oiled; R distal wing edema,
793045,17-2056,10/1/2017 17:41,Common Murre or Guillemot,Pacific Wildlife Care,San Simeon Point San Simeon CA,35.663172,-121.257439,Euthanized in 24hr,10/1/2017,Adult,"Stranded, petrochemical exposure",oiled,**integument**: tar L axilla+ dorsal L wing. Large area of missing feathers L axilla and ventral L patagium // ,"oiled, large missing feather patch",
779184,17-2893,10/1/2017 16:44,Common Murre or Guillemot,WildCare,Rodeo Beach Marin Beach CA,37.830669,-122.537043,Transferred,10/3/2017,Adult,Stranded,Beached among rocks,"**head**: Eyes appear slightly sunken - dehydration, mouth WNL, ears not examined  // **cns**: BAR, standing, feisty  // **gastrointestinal**: Dirty, dark green in color  // **musculoskeletal**: No palpable fractures  // **integument**: Many secondaries are short/broken  // **body**: Thin, keel dirty  // **hindlimb**: Able to stand WNL  // ","Thin, beached seabird ",
793045,17-2055,10/1/2017 11:58,Common Murre or Guillemot,Pacific Wildlife Care,928 Pacific Blvd. Oceano CA,35.112538,-120.625783,Euthanized in 24hr,10/1/2017,Adult,Stranded,Beached,,,
793045,17-2050,9/30/2017 16:43,Common Murre or Guillemot,Pacific Wildlife Care,Beach by the Rock Morro Bay CA,35.365562,-120.850682,Died +24hr,10/4/2017,Adult,"Stranded, nutritional disease, petrochemical exposure","Beached, didn't move away",**integument**: Small patch of oil on R side. Lightly oiled top of chest. Spot under chin. // **forelimb**: Tips of R FF and some tertiary oiled. // ,"Contaminated w/petroleum, emaciated",
825020,17-3679,10/4/2017 14:25,Common Murre or Guillemot,California Wildlife Center,Zuma Beach na CA,,,Euthanized in 24hr,10/4/2017,Juvenile,"Stranded, ocular disease",none,**head**: possible cataracts // **body**: thin. IBR ok to euth // ,,
794792,17-2058,10/3/2017 20:13,Common Murre or Guillemot,SPCA for Monterey County,Lucas Point Pacific Grove CA,38.071013,-122.558994,Euthanized in 24hr,10/4/2017,Juvenile,"Stranded, gastrointestinal disease",Beached,"**head**: Lesions covering inside of mouth, tongue completely dried out and stuck to side of mouth // ",,
702816,17-2062,10/2/2017 17:01,Common Murre or Guillemot,Pacific Wildlife Care,928 Pacific Blvd. Oceano CA,35.112538,-120.625783,Euthanized in 24hr,10/2/2017,Juvenile,"Stranded, physical injury",weak,"**integument**: ~2cm BFP upper chest // **forelimb**: Large fluid swelling at R shoulder.  Significant loss of ROM // **comments**: PM radiographs showed lysis of R humeral head.  Aspirated ~3ml blood tinged, opaque fluid from swelling // ","Septic arthritis, R shoulder",
795117,17-3680,10/5/2017 10:51,American Crow,California Wildlife Center,Somewhere close to Sepulveda Animal Hospital Culver City CA,34.002145,-118.405818,Pending,,Adult,Neurologic disease,"brought to vet office on Monday, not able to stand up, just lies down","**cns**: Extreme leg paresis, unable to stand // **gastrointestinal**: vent caked with feces // **integument**: feathers caked with feces near vent // **hindlimb**: Extreme leg paresis, unable to stand, L leg and foot dangles without contraction // ",,
824989,17-3673,10/3/2017 17:41,American Crow,California Wildlife Center,5161 Pickford Way Culver City CA,34.004211,-118.395012,Died in 24hr,10/4/2017,Adult,Neurologic disease,"weak, not wanting to fly",**hindlimb**: not standing // **comments**: suspect WNV // ,,
712688,17-2922,10/3/2017 16:36,American Crow,WildCare,37 Livingston Ct Novato CA,38.056561,-122.529626,Died in 24hr,10/4/2017,Adult,Neurologic disease,may have injured wing - sitting on ground not flying away,"**comments**: Weak, head fluffed, ataxic. No FX palpated. R/O's include head trauma, ate something toxic, WNV.... Not stable enough for rads tonight.  // ",CNS disease - R/O trauma vs infectious/parasitic disease,
823058,17-3662,10/3/2017 13:28,American Crow,California Wildlife Center,Fifth st and Huntington Dr Monrovia CA,34.14024,-118.020486,Euthanized in 24hr,10/3/2017,Adult,Neurologic disease,not standing,"**cns**: not standing, neuro // **musculoskeletal**: fully adhered keel // ",neuro,
794110,17-4919,10/2/2017 17:56,American Crow,Lindsay Wildlife,2240 Loveridge Road Pittsburg CA,38.009202,-121.871474,Euthanized in 24hr,10/2/2017,Adult,"Neurologic disease, nutritional disease",Not moving in Parking lot.  Looked weak  Couldn't fly. ,**head**: eyes dull // **cns**: Bird's head lolled to the side and eyes began closing during exam. fluffed // **body**: Extremely emaciated. // **comments**: Grave prognosis // ,,
809800,17-5170,10/1/2017 9:54,American Crow,Wildlife Center of Silicon Valley,Laguna Clara Apartments Santa Clara CA,37.338001,-121.985278,Pending,,Adult,Neurologic disease,injured,"**head**: eyes clear, pink mm // **cns**: paraparesis, minimal pain response in legs, minimal tail control, but is twitching // **cardiopulmonary**: nsf, BAR // **gastrointestinal**: yellow urates passed // **musculoskeletal**: nsf // **integument**: nsf, good feather condition // **body**: 1/5 BCS // **forelimb**: nsf // **hindlimb**: nsf // **comments**: Suspect WVN, save carcass for testing if bird expires in care. // ",,
793044,17-4904,9/30/2017 17:53,American Crow,Lindsay Wildlife,943 Reddington Ct Walnut Creek CA,37.880514,-122.030508,Euthanized in 24hr,10/1/2017,Adult,"Neurologic disease, nutritional disease",Sitting on sidewalk in front of house.  Just sitting there but not flying away.  ,"**head**: mouth is dry, mandible and maxilla are sticky - particularly the R side, no stain uptake OU, good PLR, able to see and track, bites // **cns**: QAR, mildly depressed mentation // **cardiopulmonary**: lung sounds WNL // **gastrointestinal**: urates on the ventral aspect of the tail feathers, feces are tan / yellow, vent is clear // **musculoskeletal**: no bruising seen at this time // **integument**: downy feathers are somewhat sticky / oily - similar to after oiling a bird to remove from sticky trap, feathers look semi-oily and more reflective than usual // **body**: emaciated body condition (2/9 keel score) // **forelimb**: when lufting does not appropriately ambulate the wings // **hindlimb**: able to ambulate all limbs normally // ",,
712688,17-2921,10/3/2017 16:08,Rock Dove or Common Pigeon or Rock Pigeon or Fan-Tail Pigeon or Fantail Pigeon,WildCare,801 Minaker Dr Antioch CA,38.013781,-121.788143,Pending,,Fledgling,Skin disease,"demolition work on old pier, found 2 nests with the 3 baby pigeons","**head**: pox(?) lesion upper eyelid OS, small // **cns**: no neuro on intake  // **gastrointestinal**: crop half full // **integument**: flat flies  // ","suspected pox lesion OS upper eyelid, ectoparasites",
793772,17-4771,10/2/2017 10:57,Rock Dove or Common Pigeon or Rock Pigeon or Fan-Tail Pigeon or Fantail Pigeon,Wildlife Care Association of Sacramento,2933 65th street Sacramento CA,38.547997,-121.427422,Euthanized in 24hr,10/2/2017,Fledgling,Skin disease,"found, not moving, leg looked bad.",**integument**: pox // ,Skin/integument disease: pox lesions,
792863,17-4900,9/30/2017 14:15,American Crow,Lindsay Wildlife,Willowpass Rd (near guitar store) Concord CA,37.967223,-122.052917,Euthanized in 24hr,9/30/2017,Adult,Skin disease,On side on road next to curb,**body**: reasonable body condition // **hindlimb**: severe pox lesions on the digits - ended exam here // ,,
794900,17-4927,10/4/2017 9:07,Anna's Hummingbird,Lindsay Wildlife,1740 Fisher Dr. Concord CA,37.957203,-122.045701,Died in 24hr,10/4/2017,Adult,"Skin disease, nutritional disease","found on ground, attempted to fly when she picked it up but otherwise was not trying to fly","**head**: 3mm ""fingerlike"" growth above R eye.  Unsure if avian pox lesion or hyperkeratosis. // **cns**: fluffed // **body**: emaciated // **comments**: Bird died shortly after intake // ",,
684827,17-2041,10/1/2017 10:33,Anna's Hummingbird,SPCA for Monterey County,32 Ralston Dr Monterey CA,36.59373,-121.847339,Euthanized in 24hr,10/1/2017,Adult,Skin disease,"stuck in webbing, wing inj","**head**: large growth covering upper beak, likely pox // **forelimb**: wings covered in what appears to be spider webs // ",,
